,,,,,,,,,,
Trade Date,Symbol,Warehouse,Production Year,Opening Price,Closing Price,High,Low,Change,Persetntage Change,Volume (Ton)
05/29/2012,WYCB3,DL,2004,"1,230.00",0.00,"1,235.00","1,230.00",0,0.0 ,61.2
05/25/2012,WYCB3,DL,2004,"1,240.00",0.00,"1,240.00","1,240.00",0,0.0 ,34.66
04/18/2012,WYCB3,DL,2004,"1,230.00",0.00,"1,230.00","1,230.00",0,0.0 ,181.8
04/17/2012,WYCB3,DL,2004,"1,230.00",0.00,"1,230.00","1,230.00",0,0.0 ,8.99
04/16/2012,WYCB3,DL,2004,"1,230.00",0.00,"1,235.00","1,230.00",0,0.0 ,88.2
04/12/2012,WYCB3,DL,2004,"1,240.00",0.00,"1,240.00","1,240.00",0,0.0 ,18
04/24/2012,WYCB3,DL,2004,"1,230.00",0.00,"1,230.00","1,230.00",0,0.0 ,50.41
04/25/2012,WYCB3,DL,2004,"1,250.00",0.00,"1,250.00","1,250.00",0,0.0 ,16.2
04/26/2012,WYCB3,DL,2004,"1,230.00",0.00,"1,230.00","1,230.00",0,0.0 ,8.99
04/20/2012,WYCB3,DL,2004,"1,230.00",0.00,"1,230.00","1,230.00",0,0.0 ,18
04/23/2012,WYCB3,DL,2004,"1,230.00",0.00,"1,230.00","1,230.00",0,0.0 ,8.99
05/11/2012,WYCB3,DL,2004,"1,320.00",0.00,"1,320.00","1,310.00",0,0.0 ,37.81
04/27/2012,WYCB3,DL,2004,"1,250.00",0.00,"1,255.00","1,250.00",0,0.0 ,35
04/30/2012,WYCB3,DL,2004,"1,265.00",0.00,"1,270.00","1,265.00",0,0.0 ,27
05/04/2012,WYCB3,DL,2004,"1,370.00",0.00,"1,370.00","1,360.00",0,0.0 ,32.4
05/03/2012,WYCB3,DL,2004,"1,330.00",0.00,"1,330.00","1,330.00",0,0.0 ,8.99
05/02/2012,WYCB3,DL,2004,"1,310.00",0.00,"1,310.00","1,310.00",0,0.0 ,69.56
04/09/2012,WYCB3,DL,2004,"1,260.00",0.00,"1,260.00","1,260.00",0,0.0 ,8.99
04/04/2012,WYCB3,DL,2004,"1,300.00",0.00,"1,300.00","1,300.00",0,0.0 ,61.97
04/06/2012,WYCB3,DL,2004,"1,290.00",0.00,"1,290.00","1,290.00",0,0.0 ,59.4
03/28/2012,WYCB3,DL,2004,"1,300.00",0.00,"1,300.00","1,300.00",0,0.0 ,37.81
03/30/2012,WYCB3,DL,2004,"1,280.00",0.00,"1,285.00","1,280.00",0,0.0 ,90
04/02/2012,WYCB3,DL,2004,"1,285.00",0.00,"1,285.00","1,285.00",0,0.0 ,98.06
04/03/2012,WYCB3,DL,2004,"1,290.00",0.00,"1,290.00","1,290.00",0,0.0 ,12.6
03/20/2012,WYCB3,DL,2004,"1,250.00",0.00,"1,250.00","1,250.00",0,0.0 ,7.21
03/19/2012,WYCB3,DL,2004,"1,290.00",0.00,"1,290.00","1,280.00",0,0.0 ,84.59
03/21/2012,WYCB3,DL,2004,"1,260.00",0.00,"1,260.00","1,260.00",0,0.0 ,14.4
03/27/2012,WYCB3,DL,2004,"1,260.00",0.00,"1,260.00","1,250.00",0,0.0 ,77.35
